LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1735035454.894791,867305.000,6498,1,EA,1,100,0.030187
1735035454.961292,867371.500,6518,2,EA,1,100,0.030187
1735035455.027793,867438.000,6518,2,EA,1,100,0.030187
1735035455.094794,867505.000,6535,1,EA,1,100,0.030187
1735035455.161294,867571.500,6551,2,EA,1,100,0.030187
1735035455.227795,867638.000,6551,2,EA,1,100,0.030187
1735035455.294296,867704.500,6567,2,EA,1,100,0.030186
1735035455.360797,867771.000,6567,2,EA,1,100,0.030186
1735035455.427798,867838.000,6583,1,EA,1,100,0.030187
1735035455.494299,867904.500,6601,2,EA,1,100,0.030186
1735035455.560800,867971.000,6601,2,EA,1,100,0.030186
1735035455.627801,868038.000,6619,1,EA,1,100,0.030186
1735035455.694302,868104.500,6634,2,EA,1,100,0.030186
1735035455.760803,868171.000,6634,2,EA,1,100,0.030186
1735035455.827803,868238.000,6650,1,EA,1,100,0.030186
1735035455.894304,868304.500,6668,2,EA,1,100,0.030186
1735035455.960805,868371.000,6668,2,EA,1,100,0.030186
1735035456.027806,868438.000,6684,1,EA,1,100,0.030186
1735035456.094307,868504.500,6699,2,EA,1,100,0.030186
1735035456.160808,868571.000,6699,2,EA,1,100,0.030186
1735035456.227809,868638.000,6716,1,EA,1,100,0.030186
1735035456.294310,868704.500,6733,2,EA,1,100,0.030186
1735035456.360811,868771.000,6733,2,EA,1,100,0.030186
1735035456.427811,868838.000,6749,1,EA,1,100,0.030186
1735035456.494312,868904.500,6765,2,EA,1,100,0.030186
1735035456.560813,868971.000,6765,2,EA,1,100,0.030186
1735035456.627814,869038.000,6781,1,EA,1,100,0.030186
1735035456.694315,869104.500,6798,2,EA,1,100,0.030186
1735035456.760816,869171.000,6798,2,EA,1,100,0.030186
1735035456.827817,869238.000,6814,1,EA,1,100,0.030186
1735035456.894318,869304.500,6830,2,EA,1,100,0.030186
1735035456.960819,869371.000,6830,2,EA,1,100,0.030186
1735035457.027819,869438.000,6846,1,EA,1,100,0.030186
1735035457.094320,869504.500,6863,2,EA,1,100,0.030186
1735035457.160821,869571.000,6863,2,EA,1,100,0.030186
1735035457.227822,869638.000,6880,1,EA,1,100,0.030185
1735035457.294323,869704.500,6896,2,EA,1,100,0.030186
1735035457.360824,869771.000,6896,2,EA,1,100,0.030185
1735035457.427825,869838.000,6911,1,EA,1,100,0.030186
1735035457.494326,869904.500,6929,2,EA,1,100,0.030186
1735035457.560827,869971.000,6929,2,EA,1,100,0.030185
1735035457.627327,870037.500,6945,2,EA,1,100,0.030186
1735035457.693828,870104.000,6945,2,EA,1,100,0.030186
1735035457.760829,870171.000,6962,1,EA,1,100,0.030185
1735035457.827330,870237.500,6977,2,EA,1,100,0.030186
